session,score,bankrupt,bankruptcy_day,trade_count,quote_count,fok_count,fill_rate,final_cash
0,1.630000000000002,False,,52,462,444,0.0574,1.63
1,1.9300000000000006,False,,50,443,496,0.0532,1.93
2,1.99,False,,60,457,414,0.0689,1.99
3,1.48,False,,47,427,470,0.0524,1.48
4,1.1300000000000021,False,,49,470,425,0.0547,1.13
5,1.7200000000000015,False,,60,442,496,0.064,1.72
6,1.06,False,,65,410,464,0.0744,1.06
7,1.4699999999999982,False,,56,423,414,0.0669,1.47
8,2.169999999999998,False,,62,450,442,0.0695,2.17
9,1.0800000000000007,False,,59,455,437,0.0661,1.08
10,1.8000000000000012,False,,52,423,424,0.0614,1.8
11,1.8699999999999997,False,,40,445,422,0.0461,1.87
12,1.85,False,,52,422,422,0.0616,1.85
13,1.5599999999999996,False,,63,460,435,0.0704,1.56
14,1.399999999999998,False,,59,419,460,0.0671,1.4
15,1.7399999999999989,False,,66,414,436,0.0776,1.74
16,1.6999999999999984,False,,63,437,390,0.0762,1.7
17,1.3300000000000007,False,,62,431,476,0.0684,1.33
18,1.8399999999999999,False,,57,448,437,0.0644,1.84
19,1.3900000000000001,False,,40,431,419,0.0471,1.39
20,1.1899999999999995,False,,62,447,489,0.0662,1.19
21,1.7499999999999998,False,,68,413,434,0.0803,1.75
22,1.490000000000001,False,,42,468,448,0.0459,1.49
23,1.9400000000000004,False,,45,443,464,0.0496,1.94
24,1.5799999999999987,False,,53,412,477,0.0596,1.58
25,1.9200000000000004,False,,50,449,461,0.0549,1.92
26,1.9900000000000002,False,,49,432,459,0.055,1.99
27,2.0,False,,42,385,397,0.0537,2.0
28,1.8200000000000025,False,,60,449,475,0.0649,1.82
29,1.2499999999999982,False,,42,460,447,0.0463,1.25
30,1.1399999999999995,False,,42,444,459,0.0465,1.14
31,3.619999999999998,False,,51,454,413,0.0588,3.62
32,1.2699999999999996,False,,57,450,409,0.0664,1.27
33,1.9499999999999995,False,,59,428,425,0.0692,1.95
34,1.5900000000000012,False,,48,430,427,0.056,1.59
35,1.290000000000002,False,,54,445,418,0.0626,1.29
36,1.4099999999999984,False,,36,420,434,0.0422,1.41
37,1.620000000000001,False,,75,468,457,0.0811,1.62
38,1.2900000000000003,False,,43,404,399,0.0535,1.29
39,1.8599999999999994,False,,45,436,440,0.0514,1.86
40,2.7299999999999995,False,,40,410,430,0.0476,2.73
41,8.740000000000002,False,,52,463,410,0.0596,8.74
42,1.3199999999999992,False,,58,490,469,0.0605,1.32
43,1.060000000000001,False,,57,443,473,0.0622,1.06
44,1.6000000000000019,False,,56,431,414,0.0663,1.6
45,2.719999999999999,False,,53,436,441,0.0604,2.72
46,1.2699999999999996,False,,66,443,434,0.0753,1.27
47,1.450000000000001,False,,42,429,422,0.0494,1.45
48,1.4799999999999995,False,,62,465,470,0.0663,1.48
49,1.5999999999999996,False,,50,440,439,0.0569,1.6
50,1.8600000000000017,False,,49,417,459,0.0559,1.86
51,1.429999999999999,False,,63,468,463,0.0677,1.43
52,1.5099999999999991,False,,48,423,431,0.0562,1.51
53,1.5800000000000005,False,,47,456,437,0.0526,1.58
54,1.880000000000001,False,,69,456,427,0.0781,1.88
55,1.110000000000001,False,,54,421,478,0.0601,1.11
56,1.859999999999999,False,,76,441,452,0.0851,1.86
57,1.2499999999999993,False,,43,413,459,0.0493,1.25
